N, Parola, Canzone, Canzoni sul totale, Autore, Apparizioni Tot,
1,che,Mr nessuno,1 \ 2,Claver Gold,24
2,di,Mr nessuno,1 \ 2,Claver Gold,24
3,e,Mr nessuno,1 \ 2,Claver Gold,21
4,io,Mr nessuno,1 \ 2,Claver Gold,16
5,non,Mr nessuno,1 \ 2,Claver Gold,16
6,il,Mr nessuno,1 \ 2,Claver Gold,15
7,così,Mr nessuno,1 \ 2,Claver Gold,14
8,sono,Mr nessuno,1 \ 2,Claver Gold,13
9,in,Mr nessuno,1 \ 2,Claver Gold,12
10,tutti,Mr nessuno,1 \ 2,Claver Gold,11
11,da,Mr nessuno,1 \ 2,Claver Gold,9
12,mi,Mr nessuno,1 \ 2,Claver Gold,9
13,un,Mr nessuno,1 \ 2,Claver Gold,9
14,mr,Mr nessuno,1 \ 2,Claver Gold,8
15,nessuno,Mr nessuno,1 \ 2,Claver Gold,8
16,ho,Mr nessuno,1 \ 2,Claver Gold,8
17,a,Mr nessuno,1 \ 2,Claver Gold,8
18,so,Mr nessuno,1 \ 2,Claver Gold,8
19,città,Mr nessuno,1 \ 2,Claver Gold,8
20,ma,Mr nessuno,1 \ 2,Claver Gold,7
21,questa,Mr nessuno,1 \ 2,Claver Gold,7
22,fan,Mr nessuno,1 \ 2,Claver Gold,7
23,fanculo,Mr nessuno,1 \ 2,Claver Gold,7
24,scena,Mr nessuno,1 \ 2,Claver Gold,7
25,pagliacci,Mr nessuno,1 \ 2,Claver Gold,6
26,nel,Mr nessuno,1 \ 2,Claver Gold,6
27,per,Mr nessuno,1 \ 2,Claver Gold,6
28,dal,Mr nessuno,1 \ 2,Claver Gold,5
29,al,Mr nessuno,1 \ 2,Claver Gold,5
30,poi,Mr nessuno,1 \ 2,Claver Gold,5
31,mio,Mr nessuno,1 \ 2,Claver Gold,5
32,solo,Mr nessuno,1 \ 2,Claver Gold,5
33,voglio,Mr nessuno,1 \ 2,Claver Gold,4
34,cerco,Mr nessuno,1 \ 2,Claver Gold,4
35,me,Mr nessuno,1 \ 2,Claver Gold,4
36,puoi,Mr nessuno,1 \ 2,Claver Gold,4
37,l,Mr nessuno,1 \ 2,Claver Gold,4
38,amici,Mr nessuno,1 \ 2,Claver Gold,4
39,è,Mr nessuno,1 \ 2,Claver Gold,4
40,alla,Mr nessuno,1 \ 2,Claver Gold,4
41,noi,Mr nessuno,1 \ 2,Claver Gold,4
42,come,Mr nessuno,1 \ 2,Claver Gold,4
43,momento,Mr nessuno,1 \ 2,Claver Gold,3
44,opportuno,Mr nessuno,1 \ 2,Claver Gold,3
45,buon,Mr nessuno,1 \ 2,Claver Gold,3
46,motivo,Mr nessuno,1 \ 2,Claver Gold,3
47,lasciarli,Mr nessuno,1 \ 2,Claver Gold,3
48,qui,Mr nessuno,1 \ 2,Claver Gold,3
49,digiuno,Mr nessuno,1 \ 2,Claver Gold,3
50,adesso,Mr nessuno,1 \ 2,Claver Gold,3
51,del,Mr nessuno,1 \ 2,Claver Gold,3
52,sto,Mr nessuno,1 \ 2,Claver Gold,3
53,minuto,Mr nessuno,1 \ 2,Claver Gold,3
54,vivon,Mr nessuno,1 \ 2,Claver Gold,3
55,fumo,Mr nessuno,1 \ 2,Claver Gold,3
56,sentirne,Mr nessuno,1 \ 2,Claver Gold,3
57,profumo,Mr nessuno,1 \ 2,Claver Gold,3
58,dalla,Mr nessuno,1 \ 2,Claver Gold,3
59,fatto,Mr nessuno,1 \ 2,Claver Gold,3
60,dell,Mr nessuno,1 \ 2,Claver Gold,3
61,eroina,Mr nessuno,1 \ 2,Claver Gold,3
62,gli,Mr nessuno,1 \ 2,Claver Gold,3
63,nettuno,Mr nessuno,1 \ 2,Claver Gold,3
64,mangiano,Mr nessuno,1 \ 2,Claver Gold,3
65,ed,Mr nessuno,1 \ 2,Claver Gold,3
66,piatto,Mr nessuno,1 \ 2,Claver Gold,3
67,se,Mr nessuno,1 \ 2,Claver Gold,3
68,ti,Mr nessuno,1 \ 2,Claver Gold,3
69,la,Mr nessuno,1 \ 2,Claver Gold,3
70,parlo,Mr nessuno,1 \ 2,Claver Gold,2
71,tu,Mr nessuno,1 \ 2,Claver Gold,2
72,te,Mr nessuno,1 \ 2,Claver Gold,2
73,chiuso,Mr nessuno,1 \ 2,Claver Gold,2
74,fare,Mr nessuno,1 \ 2,Claver Gold,2
75,con,Mr nessuno,1 \ 2,Claver Gold,2
76,coi,Mr nessuno,1 \ 2,Claver Gold,2
77,miei,Mr nessuno,1 \ 2,Claver Gold,2
78,mia,Mr nessuno,1 \ 2,Claver Gold,2
79,ancora,Mr nessuno,1 \ 2,Claver Gold,2
80,chi,Mr nessuno,1 \ 2,Claver Gold,2
81,hanno,Mr nessuno,1 \ 2,Claver Gold,2
82,ripassato,Mr nessuno,1 \ 2,Claver Gold,2
83,dove,Mr nessuno,1 \ 2,Claver Gold,2
84,anche,Mr nessuno,1 \ 2,Claver Gold,2
85,i,Mr nessuno,1 \ 2,Claver Gold,2
86,qualcuno,Mr nessuno,1 \ 2,Claver Gold,2
87,scappare,Mr nessuno,1 \ 2,Claver Gold,2
88,mondo,Mr nessuno,1 \ 2,Claver Gold,2
89,prima,Mr nessuno,1 \ 2,Claver Gold,2
90,c,Mr nessuno,1 \ 2,Claver Gold,2
91,era,Mr nessuno,1 \ 2,Claver Gold,2
92,va,Mr nessuno,1 \ 2,Claver Gold,2
93,sponda,Mr nessuno,1 \ 2,Claver Gold,2
94,svenuto,Mr nessuno,1 \ 2,Claver Gold,1
95,col,Mr nessuno,1 \ 2,Claver Gold,1
96,complesso,Mr nessuno,1 \ 2,Claver Gold,1
97,dj,Mr nessuno,1 \ 2,Claver Gold,1
98,detenuto,Mr nessuno,1 \ 2,Claver Gold,1
99,caffè,Mr nessuno,1 \ 2,Claver Gold,1
100,porti,Mr nessuno,1 \ 2,Claver Gold,1
101,petto,Mr nessuno,1 \ 2,Claver Gold,1
102,saluto,Mr nessuno,1 \ 2,Claver Gold,1
103,frà,Mr nessuno,1 \ 2,Claver Gold,1
104,tuo,Mr nessuno,1 \ 2,Claver Gold,1
105,rispetto,Mr nessuno,1 \ 2,Claver Gold,1
106,poter,Mr nessuno,1 \ 2,Claver Gold,1
107,dovuto,Mr nessuno,1 \ 2,Claver Gold,1
108,dare,Mr nessuno,1 \ 2,Claver Gold,1
109,matto,Mr nessuno,1 \ 2,Claver Gold,1
110,forse,Mr nessuno,1 \ 2,Claver Gold,1
111,sognerò,Mr nessuno,1 \ 2,Claver Gold,1
112,spostarti,Mr nessuno,1 \ 2,Claver Gold,1
113,lei,Mr nessuno,1 \ 2,Claver Gold,1
114,cazzo,Mr nessuno,1 \ 2,Claver Gold,1
115,do,Mr nessuno,1 \ 2,Claver Gold,1
116,pace,Mr nessuno,1 \ 2,Claver Gold,1
117,patto,Mr nessuno,1 \ 2,Claver Gold,1
118,stretto,Mr nessuno,1 \ 2,Claver Gold,1
119,sfratto,Mr nessuno,1 \ 2,Claver Gold,1
120,inganno,Mr nessuno,1 \ 2,Claver Gold,1
121,dentro,Mr nessuno,1 \ 2,Claver Gold,1
122,passo,Mr nessuno,1 \ 2,Claver Gold,1
123,coltivo,Mr nessuno,1 \ 2,Claver Gold,1
124,han,Mr nessuno,1 \ 2,Claver Gold,1
125,depresso,Mr nessuno,1 \ 2,Claver Gold,1
126,vogliono,Mr nessuno,1 \ 2,Claver Gold,1
127,perché,Mr nessuno,1 \ 2,Claver Gold,1
128,meglio,Mr nessuno,1 \ 2,Claver Gold,1
129,mc,Mr nessuno,1 \ 2,Claver Gold,1
130,cresce,Mr nessuno,1 \ 2,Claver Gold,1
131,buco,Mr nessuno,1 \ 2,Claver Gold,1
132,cresciuto,Mr nessuno,1 \ 2,Claver Gold,1
133,nemmeno,Mr nessuno,1 \ 2,Claver Gold,1
134,detto,Mr nessuno,1 \ 2,Claver Gold,1
135,restare,Mr nessuno,1 \ 2,Claver Gold,1
136,voluto,Mr nessuno,1 \ 2,Claver Gold,1
137,stesso,Mr nessuno,1 \ 2,Claver Gold,1
138,versami,Mr nessuno,1 \ 2,Claver Gold,1
139,evoluto,Mr nessuno,1 \ 2,Claver Gold,1
140,parliamo,Mr nessuno,1 \ 2,Claver Gold,1
141,ne,Mr nessuno,1 \ 2,Claver Gold,1
142,abbiamo,Mr nessuno,1 \ 2,Claver Gold,1
143,eroi,Mr nessuno,1 \ 2,Claver Gold,1
144,crediamo,Mr nessuno,1 \ 2,Claver Gold,1
145,neanche,Mr nessuno,1 \ 2,Claver Gold,1
146,nella,Mr nessuno,1 \ 2,Claver Gold,1
147,verità,Mr nessuno,1 \ 2,Claver Gold,1
148,immedesimo,Mr nessuno,1 \ 2,Claver Gold,1
149,voi,Mr nessuno,1 \ 2,Claver Gold,1
150,vado,Mr nessuno,1 \ 2,Claver Gold,1
151,d,Mr nessuno,1 \ 2,Claver Gold,1
152,accordo,Mr nessuno,1 \ 2,Claver Gold,1
153,suoi,Mr nessuno,1 \ 2,Claver Gold,1
154,stanno,Mr nessuno,1 \ 2,Claver Gold,1
155,volando,Mr nessuno,1 \ 2,Claver Gold,1
156,avvoltoi,Mr nessuno,1 \ 2,Claver Gold,1
157,proprio,Mr nessuno,1 \ 2,Claver Gold,1
158,sulla,Mr nessuno,1 \ 2,Claver Gold,1
159,carezze,Mr nessuno,1 \ 2,Claver Gold,1
160,fede,Mr nessuno,1 \ 2,Claver Gold,1
161,credo,Mr nessuno,1 \ 2,Claver Gold,1
162,velluto,Mr nessuno,1 \ 2,Claver Gold,1
163,copron,Mr nessuno,1 \ 2,Claver Gold,1
164,crede,Mr nessuno,1 \ 2,Claver Gold,1
165,nuota,Mr nessuno,1 \ 2,Claver Gold,1
166,lusso,Mr nessuno,1 \ 2,Claver Gold,1
167,busso,Mr nessuno,1 \ 2,Claver Gold,1
168,porta,Mr nessuno,1 \ 2,Claver Gold,1
169,prete,Mr nessuno,1 \ 2,Claver Gold,1
170,machete,Mr nessuno,1 \ 2,Claver Gold,1
171,pozze,Mr nessuno,1 \ 2,Claver Gold,1
172,flusso,Mr nessuno,1 \ 2,Claver Gold,1
173,sangue,Mr nessuno,1 \ 2,Claver Gold,1
174,bagna,Mr nessuno,1 \ 2,Claver Gold,1
175,le,Mr nessuno,1 \ 2,Claver Gold,1
176,nike,Mr nessuno,1 \ 2,Claver Gold,1
177,accendo,Mr nessuno,1 \ 2,Claver Gold,1
178,una,Mr nessuno,1 \ 2,Claver Gold,1
179,lucky,Mr nessuno,1 \ 2,Claver Gold,1
180,strike,Mr nessuno,1 \ 2,Claver Gold,1
181,allontano,Mr nessuno,1 \ 2,Claver Gold,1
182,dai,Mr nessuno,1 \ 2,Claver Gold,1
183,guai,Mr nessuno,1 \ 2,Claver Gold,1
184,provato,Mr nessuno,1 \ 2,Claver Gold,1
185,passato,Mr nessuno,1 \ 2,Claver Gold,1
186,partito,Mr nessuno,1 \ 2,Claver Gold,1
187,zero,Mr nessuno,1 \ 2,Claver Gold,1
188,lì,Mr nessuno,1 \ 2,Claver Gold,1
189,ci,Mr nessuno,1 \ 2,Claver Gold,1
190,son,Mr nessuno,1 \ 2,Claver Gold,1
191,sputo,Mr nessuno,1 \ 2,Claver Gold,1
192,scusa,Mr nessuno,1 \ 2,Claver Gold,1
193,becco,Mr nessuno,1 \ 2,Claver Gold,1
194,impreparato,Mr nessuno,1 \ 2,Claver Gold,1
195,stato,Mr nessuno,1 \ 2,Claver Gold,1
196,bambino,Mr nessuno,1 \ 2,Claver Gold,1
197,crescere,Mr nessuno,1 \ 2,Claver Gold,1
198,mai,Mr nessuno,1 \ 2,Claver Gold,1
199,amami,Mr nessuno,1 \ 2,Claver Gold,1
200,altro,Mr nessuno,1 \ 2,Claver Gold,1
201,ha,Mr nessuno,1 \ 2,Claver Gold,1
202,fosse,Mr nessuno,1 \ 2,Claver Gold,1
203,ultimo,Mr nessuno,1 \ 2,Claver Gold,1
204,giorno,Mr nessuno,1 \ 2,Claver Gold,1
205,togli,Mr nessuno,1 \ 2,Claver Gold,1
206,sostenuto,Mr nessuno,1 \ 2,Claver Gold,1
207,problemi,Mr nessuno,1 \ 2,Claver Gold,1
208,torno,Mr nessuno,1 \ 2,Claver Gold,1
209,pure,Mr nessuno,1 \ 2,Claver Gold,1
210,stanotte,Mr nessuno,1 \ 2,Claver Gold,1
211,dormo,Mr nessuno,1 \ 2,Claver Gold,1
212,vuole,Mr nessuno,1 \ 2,Claver Gold,1
213,guardo,Mr nessuno,1 \ 2,Claver Gold,1
214,trasformo,Mr nessuno,1 \ 2,Claver Gold,1
215,muto,Mr nessuno,1 \ 2,Claver Gold,1
216,luna,Mr nessuno,1 \ 2,Claver Gold,1
217,chiude,Mr nessuno,1 \ 2,Claver Gold,1
218,contorno,Mr nessuno,1 \ 2,Claver Gold,1
219,piena,Mr nessuno,1 \ 2,Claver Gold,1
220,ogni,Mr nessuno,1 \ 2,Claver Gold,1
221,gira,Mr nessuno,1 \ 2,Claver Gold,1
222,intorno,Mr nessuno,1 \ 2,Claver Gold,1
223,ciò,Mr nessuno,1 \ 2,Claver Gold,1
224,fai,Mr nessuno,1 \ 2,Claver Gold,1
225,dopo,Mr nessuno,1 \ 2,Claver Gold,1
226,crack,Mr nessuno,1 \ 2,Claver Gold,1
227,cinquanta,Mr nessuno,1 \ 2,Claver Gold,1
228,casino,Mr nessuno,1 \ 2,Claver Gold,1
229,dub,Mr nessuno,1 \ 2,Claver Gold,1
230,club,Mr nessuno,1 \ 2,Claver Gold,1
231,provo,Mr nessuno,1 \ 2,Claver Gold,1
232,rap,Mr nessuno,1 \ 2,Claver Gold,1
233,insegnato,Mr nessuno,1 \ 2,Claver Gold,1
234,simile,Mr nessuno,1 \ 2,Claver Gold,1
235,quando,Mr nessuno,1 \ 2,Claver Gold,1
236,chili,Mr nessuno,1 \ 2,Claver Gold,1
237,nato,Mr nessuno,1 \ 2,Claver Gold,1
238,sì,Mr nessuno,1 \ 2,Claver Gold,1
239,qualcosa,Mr nessuno,1 \ 2,Claver Gold,1
240,cambiato,Mr nessuno,1 \ 2,Claver Gold,1
241,cantano,Mr nessuno,1 \ 2,Claver Gold,1
242,acchiappa,Mr nessuno,1 \ 2,Claver Gold,1
243,clap,Mr nessuno,1 \ 2,Claver Gold,1
244,dimmi,Mr nessuno,1 \ 2,Claver Gold,1
245,nebbia,Mr nessuno,1 \ 2,Claver Gold,1
246,prendi,Mr nessuno,1 \ 2,Claver Gold,1
247,venire,Mr nessuno,1 \ 2,Claver Gold,1
248,mare,Mr nessuno,1 \ 2,Claver Gold,1
249,delle,Mr nessuno,1 \ 2,Claver Gold,1
250,storie,Mr nessuno,1 \ 2,Claver Gold,1
251,inventi,Mr nessuno,1 \ 2,Claver Gold,1
252,trovami,Mr nessuno,1 \ 2,Claver Gold,1
253,pare,Mr nessuno,1 \ 2,Claver Gold,1
254,bamba,Mr nessuno,1 \ 2,Claver Gold,1
255,abbonda,Mr nessuno,1 \ 2,Claver Gold,1
256,tremenda,Mr nessuno,1 \ 2,Claver Gold,1
257,sfonda,Mr nessuno,1 \ 2,Claver Gold,1
258,inonda,Mr nessuno,1 \ 2,Claver Gold,1
259,cesso,Mr nessuno,1 \ 2,Claver Gold,1
260,passa,Mr nessuno,1 \ 2,Claver Gold,1
261,mano,Mr nessuno,1 \ 2,Claver Gold,1
262,feconda,Mr nessuno,1 \ 2,Claver Gold,1
263,figli,Mr nessuno,1 \ 2,Claver Gold,1
264,seconda,Mr nessuno,1 \ 2,Claver Gold,1
265,assecondami,Mr nessuno,1 \ 2,Claver Gold,1
266,talento,Mr nessuno,1 \ 2,Claver Gold,1
267,conta,Mr nessuno,1 \ 2,Claver Gold,1
268,tutta,Mr nessuno,1 \ 2,Claver Gold,1
269,pubblicità,Mr nessuno,1 \ 2,Claver Gold,1
270,spiegare,Mr nessuno,1 \ 2,Claver Gold,1
271,cosa,Mr nessuno,1 \ 2,Claver Gold,1
272,vuol,Mr nessuno,1 \ 2,Claver Gold,1
273,dire,Mr nessuno,1 \ 2,Claver Gold,1
274,felicità,Mr nessuno,1 \ 2,Claver Gold,1
275,parli,Mr nessuno,1 \ 2,Claver Gold,1
276,dei,Mr nessuno,1 \ 2,Claver Gold,1
277,soldi,Mr nessuno,1 \ 2,Claver Gold,1
278,video,Mr nessuno,1 \ 2,Claver Gold,1
279,lo,Mr nessuno,1 \ 2,Claver Gold,1
280,finanzia,Mr nessuno,1 \ 2,Claver Gold,1
281,papà,Mr nessuno,1 \ 2,Claver Gold,1
282,compri,Mr nessuno,1 \ 2,Claver Gold,1
283,dischi,Mr nessuno,1 \ 2,Claver Gold,1
284,dissi,Mr nessuno,1 \ 2,Claver Gold,1
285,professi,Mr nessuno,1 \ 2,Claver Gold,1
286,consumo,Mr nessuno,1 \ 2,Claver Gold,1
287,questo,Mr nessuno,1 \ 2,Claver Gold,1
288,rimanere,Mr nessuno,1 \ 2,Claver Gold,1
289,licenzio,Mr nessuno,1 \ 2,Claver Gold,1
290,posto,Mr nessuno,1 \ 2,Claver Gold,1
291,nulla,Mr nessuno,1 \ 2,Claver Gold,1
292,assumo,Mr nessuno,1 \ 2,Claver Gold,1
293,ringrazio,Mr nessuno,1 \ 2,Claver Gold,1
294,resto,Mr nessuno,1 \ 2,Claver Gold,1
